,Datetime,Tweet Id,Text,Username,Place,Coordinates,UserLocation
0,2015-03-02 09:57:13+00:00,572334839090688000,Oh look who is back! 🙋 #MKR,mykitchenrules,,,
1,2015-03-02 09:56:28+00:00,572334649088737280,#mkr say sassy one more time 😒,ElijahBKris,,,"Mackay, Queensland"
2,2015-03-02 09:54:31+00:00,572334159588278272,Good you girls you stepped it up from entrée. Hope desert goes well #MKR,breebri28,,,
3,2015-03-02 09:54:25+00:00,572334131977142272,“@mykitchenrules: This is it! Who is going home tonight? #MKR” all of them.  So boring,LyndaMcCarthy2,,,Colac
4,2015-03-02 09:53:27+00:00,572333889806446592,"RT @PatriceChienne: pretty: adjective 1.) attractive in a delicate way without being truly beautiful.""a pretty little girl with an engaging…",CattyKoala,,,"Sydney, Australia"
5,2015-03-02 09:53:08+00:00,572333810081116160,“@ismisecaz: My housemate was inspired. #mkr http://t.co/b3JeYviyAP” Deconstructed?,SueKennedy19,,,
6,2015-03-02 09:50:24+00:00,572333120797589504,"ummm, @Channel7 isn't #revenge after #mkr not #htgawm #howtogetawaywithmurder which I thought was on Tuesday's? I'm confused by that. ugh. 😰",sngo1982,,,
7,2015-03-02 09:50:06+00:00,572333045824413697,“@oh_deary_me__: @halcyon2001 @kitteh09 @Oh_so_offensive   . Now Colon is calling for a punch. #MKR” double punch from Drasko and Steve?,kitteh09,,,Australia
8,2015-03-02 09:49:30+00:00,572332896075161601,“@mykitchenrules: OoOh what do you think is the surprise announcement? #MKR” that it's turning into a cooking show next week? #MKR2015,paul_ricketts,,,"ÜT: 1.360027,103.989873"
9,2015-03-02 09:49:06+00:00,572332793767673856,“@LIncsgq: The girls could get a job at Hienz making baby food #MKR2015 #MKR” No! Think of the children! The children!,SueKennedy19,,,
10,2015-03-02 09:48:18+00:00,572332592172670976,@mykitchenrules another round of instant restaurants? haha 😉 #MKR,dcpchiu,,,"Sydney, Australia"
